Id,Sales
1,4845.57426112
2,7961.95272314
3,9154.10064973
4,6997.19678462
5,6731.5831787
6,5837.46245571
7,8461.09758233
8,8402.70337607
9,5416.05618739
10,6150.26403309
11,7255.93802153
12,8325.12365985
13,7208.57951444
14,9031.87681284
15,6269.70348757
16,4824.32925128
17,6216.06897478
18,9768.10972158
19,12422.8296597
20,10432.7713549
21,7387.04033316
22,6109.3534251
23,6177.74729256
24,4565.11818927
25,8544.31875495
26,10926.0455227
27,9465.14801134
28,6104.47307288
29,5514.2583872
30,5209.83447484
31,5657.98681712
32,10881.3909042
33,7585.9213724
34,5994.92002826
35,5929.34949948
36,7846.64004147
37,4211.4142788
38,7517.86392895
39,4593.43103196
40,7170.18722849
41,8095.87239389
42,5736.49617618
43,7686.78858302
44,6663.14791408
45,4741.68519544
46,7222.69366089
47,7623.62809125
48,11601.0560225
49,6531.40853267
50,8708.23497993
51,7409.48264839
52,9972.12406524
53,6952.62455743
54,9839.12240113
55,5177.27943893
56,5231.67235752
57,6722.12333508
58,6208.92115956
59,9204.12958237
60,8130.29078279
61,5959.54565396
62,8163.1638255
63,6576.22377417
64,10832.5428333
65,4166.76807608
66,13514.2510614
67,5224.38809356
68,6184.7635658
69,8830.05266514
70,5919.56996749
71,6548.85387562
72,6729.21228026
73,7814.75107847
74,5607.05572792
75,5314.71482036
76,7997.60158696
77,8070.86936722
78,7641.62979837
79,4751.86411574
80,7356.46646672
81,11054.3605595
82,6669.18424821
83,4821.63283402
84,7508.84739942
85,6214.48887138
86,7021.78822455
87,7135.51693443
88,4282.97492091
89,7986.57396232
90,6244.63455264
91,7725.25319666
92,6780.99163758
93,4331.58057469
94,7308.15135724
95,5582.20961956
96,7766.72515914
97,9826.62552957
98,5388.67216608
99,5700.00628466
100,6785.92376316
101,6427.92373771
102,5964.56898574
103,8423.97248809
104,7024.60285921
105,8165.35502043
106,6215.17658502
107,4800.87448021
108,6842.10239491
109,8736.06054877
110,9368.88225582
111,8438.70375123
112,8574.35199056
113,6208.30902452
114,9082.53554358
115,6139.69509843
116,8343.21057412
117,9534.16487666
118,7236.39748727
119,10582.3846698
120,8455.79231591
121,8269.73228672
122,6584.0777388
123,7442.41788774
124,8519.50268164
125,6857.97855826
126,4207.06922743
127,6222.71567558
128,8276.02149755
129,7448.019925
130,5276.41616068
131,9274.69368697
132,6947.59770681
133,5797.05864644
134,6076.41341735
135,5843.45682422
136,7819.77780327
137,7716.33869251
138,7659.06914317
139,5744.99536602
140,4855.02241341
141,6924.76626641
142,4053.32336489
143,6476.32961145
144,5423.60166664
145,9655.3314317
146,7474.94292171
147,6822.72880535
148,8571.02501852
149,5724.88292414
150,5114.39057699
151,11138.1406564
152,7341.2549269
153,8701.59557773
154,7987.8670056
155,6003.72680595
156,6368.94974739
157,5618.85405925
158,8403.71263109
159,12266.440289
160,6832.8239172
161,3513.42271734
162,5040.48190293
163,8544.29735182
164,9368.95276934
165,6932.04965481
166,7660.3265539
167,5217.41071956
168,5923.77920905
169,3412.14914569
170,5344.83772208
171,6275.17072079
172,6920.09716384
173,7892.10213546
174,6397.38249746
175,8362.0929471
176,9684.53659851
177,7794.62810715
178,5123.02803291
179,9905.80658813
180,11332.9761
181,6894.4737123
182,8301.14162422
183,5542.2387685
184,6692.92417943
185,4723.3894563
186,7831.29756639
187,5577.4750642
188,9157.99848722
189,7645.32945653
190,9495.49698651
191,8738.03410009
192,5935.87648613
193,9060.33658982
194,19785.9316575
195,11475.8460135
196,6141.47023569
197,3021.00917448
198,6551.38688478
